subset,endpoint,stratum_or_contrast,effect,n,patients,events,estimate,ci_low,ci_high,n_boot,n_boot_valid,seed
landmark60_24,imv24,Low,proportion,26599,15807,336,0.0126320538366104,0.011185819746545596,0.014081922126039245,2000,2000,202609101
landmark60_24,imv24,Intermediate,proportion,6736,4414,440,0.06532066508313539,0.059251212060329926,0.07191430252716953,2000,2000,202609101
landmark60_24,imv24,High,proportion,1541,1188,284,0.18429591174561974,0.16376982455497766,0.2069191774261019,2000,2000,202609101
landmark60_24,imv24,High_minus_Low,absolute_difference,34876,19032,1060,0.17166385790900934,0.1508493892265821,0.19439927089366918,2000,2000,202609101
landmark60_24,imv24,Intermediate_minus_Low,absolute_difference,34876,19032,1060,0.05268861124652499,0.0466383076009913,0.05924260853648491,2000,2000,202609101
landmark60_24,imv24,Total,proportion,34876,19032,1060,0.03039339373781397,0.02849155442389604,0.03236842983870011,2000,2000,202609101
landmark60_24,pressor24,Low,proportion,26603,15812,231,0.008683231214524677,0.007571582559606204,0.00987042679972103,2000,2000,202609102
landmark60_24,pressor24,Intermediate,proportion,6748,4423,325,0.048162418494368704,0.04276633214204472,0.05387839977436531,2000,2000,202609102
landmark60_24,pressor24,High,proportion,1544,1190,238,0.15414507772020725,0.13562253289473683,0.17272742313940195,2000,2000,202609102
landmark60_24,pressor24,High_minus_Low,absolute_difference,34895,19047,794,0.14546184650568256,0.1267917425863726,0.16415137575625988,2000,2000,202609102
landmark60_24,pressor24,Intermediate_minus_Low,absolute_difference,34895,19047,794,0.03947918727984403,0.03417427905045166,0.04533853532386126,2000,2000,202609102
landmark60_24,pressor24,Total,proportion,34895,19047,794,0.022753976214357357,0.021144777615742957,0.024491207387681953,2000,2000,202609102
