lead,time_from_QRS_s,high_risk_median_mV,low_risk_median_mV,high_risk_mean_absolute_IG,high_risk_n,low_risk_n
V2,0.55,-0.005442577879875898,-0.01633066264912486,0.00010079864333964582,507,1022
V2,0.56,-0.004601013686624356,-0.01663413643836975,0.00010319427777878859,507,1022
V2,0.57,-0.0026307538500986993,-0.017848444171249866,0.00010181298984147134,507,1022
V2,0.58,-0.001903839933220297,-0.01826853910461068,9.846544532288073e-05,507,1022
V2,0.59,-0.0034862705506384373,-0.019592787139117718,8.929617888446188e-05,507,1022
V3,-0.4,0.009935349225997925,0.0028139735804870725,7.779957354938606e-05,507,1022
V3,-0.39,0.011608862318098545,0.0009568693058099598,7.899168602897502e-05,507,1022
V3,-0.38,0.013236283557489514,0.000354122748831287,7.764225825450005e-05,507,1022
V3,-0.37,0.01249363156966865,-0.001905732846353203,7.852851149576205e-05,507,1022
V3,-0.36,0.012451911345124245,-0.00261389760999009,8.026389230322808e-05,507,1022
V3,-0.35,0.010204653721302748,-0.003628328035119921,7.773052755354735e-05,507,1022
V3,-0.34,0.009691165760159492,-0.006535395659739152,7.997564941814068e-05,507,1022
V3,-0.33,0.008111975766951218,-0.008790018851868808,7.932679546633758e-05,507,1022
V3,-0.32,0.007744950009509921,-0.009760905522853136,7.585483015579659e-05,507,1022
V3,-0.31,0.011429729638621211,-0.011905999039299786,7.067978200444978e-05,507,1022
V3,-0.3,0.009085296536795795,-0.011928102932870388,6.467974179036513e-05,507,1022
V3,-0.29,0.009827631554799154,-0.014842418488115072,6.0350300021525456e-05,507,1022
V3,-0.28,0.008367774076759815,-0.01577916950918734,5.572237059597268e-05,507,1022
V3,-0.27,0.008315089158713818,-0.01800588145852089,5.1770675608176074e-05,507,1022
V3,-0.26,0.007797024678438902,-0.017778158653527498,4.812068577415625e-05,507,1022
V3,-0.25,0.006601269822567701,-0.018583910539746284,4.5759939956238014e-05,507,1022
V3,-0.24,0.007031717337667942,-0.016697488725185394,4.4447479758103236e-05,507,1022
V3,-0.23,0.006040597800165415,-0.018620687071233988,4.432251988232079e-05,507,1022
V3,-0.22,0.004937635123496875,-0.017021012492477894,4.4785016400243806e-05,507,1022
V3,-0.21,0.0044941408559679985,-0.016372290207073092,4.249525860237082e-05,507,1022
V3,-0.2,0.0038811734411865473,-0.012274040840566158,4.234299228871538e-05,507,1022
V3,-0.19,0.0028506373055279255,-0.007868702639825642,4.196596199781054e-05,507,1022
V3,-0.18,0.006215495799551718,-0.003500552847981453,4.040472377601362e-05,507,1022
V3,-0.17,0.0027550008380785584,-9.403787407791242e-05,3.909779125183353e-05,507,1022
V3,-0.16,0.0037677125073969364,0.0018600945768412203,3.7544144604328645e-05,507,1022
V3,-0.15,-0.0012351745972409844,-0.0015580018516629934,3.591789853319872e-05,507,1022
V3,-0.14,-0.0011910401517525315,-0.008015359402634203,3.7135181141073186e-05,507,1022
V3,-0.13,-0.008912519086152315,-0.01760840741917491,3.629215476253142e-05,507,1022
V3,-0.12,-0.012949476484209299,-0.025744305457919836,3.441979621415068e-05,507,1022
V3,-0.11,-0.014644495211541653,-0.03402301110327244,3.392463259129382e-05,507,1022
V3,-0.1,-0.01859058253467083,-0.04008651431649923,3.3458806023604574e-05,507,1022
V3,-0.09,-0.021649513393640518,-0.04689265973865986,3.471497754653244e-05,507,1022
V3,-0.08,-0.022160021122545004,-0.04825396463274956,3.788833231639508e-05,507,1022
