lead,time_from_QRS_s,high_pointwise_2.5pct,high_pointwise_97.5pct,low_pointwise_2.5pct,low_pointwise_97.5pct,difference_pointwise_2.5pct,difference_pointwise_97.5pct,IG_pointwise_2.5pct,IG_pointwise_97.5pct
V1,-0.03,0.005837966682156548,0.024396905209869146,0.04768719275016338,0.06157572218216952,-0.050205062213353815,-0.027162451623007663,0.00014132645264668556,0.00018006941945468376
V1,-0.02,-0.03468739431118593,0.002372049480618409,0.049481153348460795,0.06955125881358981,-0.09834391321055591,-0.055954151196056054,0.0002150964356842136,0.00026897529390924706
V1,-0.01,-0.2190815731883049,-0.161466583609581,-0.23222190104424953,-0.18735496904700996,-0.014875639975070954,0.05595921846106648,0.0003566733186518442,0.00043680006365556356
V1,0.0,-0.4225075412541628,-0.3426806554198265,-0.6352989077568054,-0.5726938843727112,0.16254872977733612,0.2756384648382663,0.0004252055034753606,0.0005232223021240655
V1,0.01,-0.33994352631270885,-0.23341520410031083,-0.5921369001269341,-0.5223391234874726,0.20826312825083731,0.3314385026693344,0.0003376034226787265,0.0004074610616900464
V1,0.02,-0.1508101287065074,-0.08345157513394953,-0.28421475142240527,-0.24251578748226166,0.10028576916083694,0.17997055267915127,0.0002529723551785,0.0003092476594646685
V1,0.03,-0.043670868827030064,-0.013333466369658709,-0.09946264317259193,-0.07443677172996103,0.04115664125420153,0.07773340971907601,0.00015301443247650926,0.0001999582830658268
V1,0.04,0.0029849563725292683,0.0194078461965546,-0.010435435181716458,-0.0010959210128930889,0.008086602547336952,0.026766960940949498,0.00010397002246920066,0.00013285242114807793
V1,0.05,0.017078750650398433,0.029492332087829705,0.016579168892349117,0.023075374285690484,-0.003327209607232362,0.011022803041851143,7.406720568706076e-05,0.00010444430924787071
V1,0.06,0.025933864689432085,0.03584414720535278,0.029730522900354116,0.034981875726953146,-0.007319473708048463,0.004814978176727891,5.779814052946071e-05,8.791942342028525e-05
V1,0.07,0.026980403810739517,0.03616705536842346,0.03528163600713015,0.03907096025068313,-0.010639583237934857,-0.000629612826742232,4.595556639241004e-05,6.148965704432935e-05
V1,0.08,0.02818461785791442,0.03675049915909767,0.0375194595893845,0.040540359914302826,-0.011519732070155442,-0.002375957265030593,4.3192577252039276e-05,5.872782088952427e-05
V1,0.09,0.024717186752241105,0.03377632931806147,0.037774828542023894,0.04167026309296488,-0.015004474110901356,-0.005554768524598331,3.963137739937738e-05,4.9835290094064696e-05
V1,0.1,0.024412613781169056,0.034760467964224516,0.039052117592655124,0.04191309954039752,-0.016419795632828027,-0.0048725974746048496,4.1300822141362775e-05,5.10622647006241e-05
V1,0.11,0.024317225167760626,0.034258586016949255,0.03892961267847568,0.04211668246425688,-0.01546127360779792,-0.005990762077271946,4.015612271313006e-05,4.814097133763815e-05
V1,0.12,0.02294492683140561,0.03329490773612633,0.03941722265444696,0.04213379169814289,-0.018097686301916837,-0.007263291068375113,4.170126836459325e-05,4.917707949522368e-05
V1,0.13,0.023375868028961123,0.03482964914292097,0.03850682869087905,0.04087831950746477,-0.016690062929410488,-0.0043188980314880785,4.33672241156452e-05,5.139929098774407e-05
V1,0.14,0.025555994489695876,0.03570733591914177,0.03807929223403335,0.04128050082363188,-0.0140842997119762,-0.003533895837608726,4.568970204481441e-05,5.448815787953504e-05
V1,0.15,0.02465701682958752,0.03499934430001304,0.03582738116383553,0.04062586512882262,-0.014997367258183658,-0.0032332034897990525,4.7586169217829014e-05,6.0076972518190076e-05
V1,0.16,0.021244105882942677,0.03359238719567656,0.034502681251615284,0.04005213659256696,-0.017383967502973975,-0.0033399058971554044,5.186103693593144e-05,6.372979677461036e-05
V1,0.17,0.02022697147913277,0.0338426943635568,0.03069926124298945,0.03789084020536393,-0.015441528521478176,-0.0004217622801661494,5.4294043562723563e-05,6.650356923265978e-05
V1,0.18,0.020697374769952148,0.032621726393699646,0.02672339491546154,0.03612243942916393,-0.012353763077408075,0.0025802468764595564,5.679442065542739e-05,6.875636627691222e-05
V1,0.19,0.019964968785643578,0.0318997909547761,0.021186081576161087,0.032363014505244786,-0.009782292845193297,0.006314581923652439,6.174766172522972e-05,7.383983181351108e-05
V1,0.2,0.015761181712150574,0.02836349606513977,0.018368614127393813,0.02759551117196679,-0.008439506159629672,0.007781603932380657,6.946169644394771e-05,8.41968700924755e-05
V1,0.21,0.005423107725800946,0.020563449338078497,0.011926263431087136,0.020625117421150203,-0.011434604012174531,0.006704709812765933,7.264799698694359e-05,8.809346268828756e-05
